ZipCode,MedianIncome
1029,C: 40-60k
1503,E: 80-100k
6090,E: 80-100k
6092,H: 140-160k
6093,F: 100-120k
6095,E: 80-100k
6096,D: 60-80k
6098,C: 40-60k
6103,E: 80-100k
6105,B: 20-40k
6106,B: 20-40k
1504,D: 60-80k
6107,F: 100-120k
6108,C: 40-60k
6109,D: 60-80k
6110,D: 60-80k
6111,D: 60-80k
6112,B: 20-40k
6114,B: 20-40k
6117,F: 100-120k
6118,C: 40-60k
6119,D: 60-80k
1505,F: 100-120k
6120,B: 20-40k
6226,B: 20-40k
6231,F: 100-120k
6232,F: 100-120k
6234,D: 60-80k
6235,D: 60-80k
6237,E: 80-100k
6238,E: 80-100k
6239,C: 40-60k
1506,D: 60-80k
6241,D: 60-80k
6242,D: 60-80k
6247,D: 60-80k
6248,F: 100-120k
6249,E: 80-100k
6250,E: 80-100k
6254,E: 80-100k
6255,D: 60-80k
6256,C: 40-60k
1507,E: 80-100k
6259,E: 80-100k
6260,C: 40-60k
6262,C: 40-60k
6264,E: 80-100k
6266,C: 40-60k
6268,C: 40-60k
6277,D: 60-80k
6278,D: 60-80k
1510,D: 60-80k
6279,D: 60-80k
6280,D: 60-80k
6281,E: 80-100k
6282,C: 40-60k
6320,B: 20-40k
6330,D: 60-80k
6331,E: 80-100k
6332,D: 60-80k
6333,F: 100-120k
6334,D: 60-80k
1515,D: 60-80k
6335,E: 80-100k
6339,E: 80-100k
6340,C: 40-60k
6350,D: 60-80k
6351,D: 60-80k
6354,C: 40-60k
6355,E: 80-100k
6357,D: 60-80k
1516,E: 80-100k
6359,D: 60-80k
6360,C: 40-60k
6365,D: 60-80k
6370,E: 80-100k
6371,E: 80-100k
6373,B: 20-40k
6374,D: 60-80k
6375,E: 80-100k
6376,G: 120-140k
6377,D: 60-80k
1518,C: 40-60k
6378,E: 80-100k
6379,D: 60-80k
6380,C: 40-60k
6382,C: 40-60k
6384,D: 60-80k
6385,D: 60-80k
6390,H: 140-160k
6401,C: 40-60k
1519,F: 100-120k
6403,E: 80-100k
6405,D: 60-80k
6410,F: 100-120k
6412,D: 60-80k
6413,D: 60-80k
6414,G: 120-140k
6415,E: 80-100k
6416,E: 80-100k
6417,D: 60-80k
1030,D: 60-80k
1520,E: 80-100k
6418,C: 40-60k
6419,F: 100-120k
6420,F: 100-120k
6422,F: 100-120k
6423,D: 60-80k
6424,E: 80-100k
6426,F: 100-120k
6437,E: 80-100k
6438,F: 100-120k
6441,E: 80-100k
1521,D: 60-80k
6442,D: 60-80k
